  Model.id                                     | Context | Max.out | Provider                 | Modality | Speed T/s | Input  | Output  | Mod
+ nvidia/nemotron-3-nano-30b-a3b               |   262Kt | 262Kt   | openrouter               |     text |         ? | $0.06  | $0.24   |
  nvidia/nemotron-3-nano-30b-a3b:free          |   256Kt | 0t      | openrouter               |     text |         ? | $0.00  | $0.00   |
  openai/gpt-4.1                               |     1Mt | 33Kt    | openrouter               |    image |         ? | $2.00  | $8.00   | M
  openai/gpt-4.1-mini                          |     1Mt | 33Kt    | openrouter               |    image |         ? | $0.40  | $1.60   | M
  openai/gpt-4.1-nano                          |     1Mt | 33Kt    | openrouter               |    image |         ? | $0.10  | $0.40   | M
  openai/gpt-5                                 |   400Kt | 128Kt   | openrouter               |     text |         ? | $1.25  | $10.00  | M
  openai/gpt-5-codex                           |   400Kt | 128Kt   | openrouter               |     text |         ? | $1.25  | $10.00  | M
  openai/gpt-5-image                           |   400Kt | 128Kt   | openrouter               |    image |         ? | $10.00 | $10.00  | M
  openai/gpt-5-image-mini                      |   400Kt | 128Kt   | openrouter               |     file |         ? | $2.50  | $2.00   | M
  openai/gpt-5-mini                            |   400Kt | 128Kt   | openrouter               |     text |         ? | $0.25  | $2.00   | M
  openai/gpt-5-nano                            |   400Kt | 128Kt   | openrouter               |     text |         ? | $0.05  | $0.40   | M
  openai/gpt-5-pro                             |   400Kt | 128Kt   | openrouter               |    image |         ? | $15.00 | $120.00 | M
  openai/gpt-5.1                               |   400Kt | 128Kt   | openrouter               |    image |         ? | $1.25  | $10.00  | M
? openai/gpt-5.1-codex                         |   400Kt | 128Kt   | openrouter               |     text |         ? | $1.25  | $10.00  | M
? openai/gpt-5.1-codex-max                     |   400Kt | 128Kt   | openrouter               |     text |         ? | $1.25  | $10.00  | M
+ openai/gpt-5.1-codex-mini                    |   400Kt | 100Kt   | openrouter               |    image |         ? | $0.25  | $2.00   | M
? openai/gpt-5.2                               |   400Kt | 128Kt   | openrouter               |     file |         ? | $1.75  | $14.00  | M
  openai/gpt-5.2-pro                           |   400Kt | 128Kt   | openrouter               |    image |         ? | $21.00 | $168.00 | M
  qwen/qwen-plus-2025-07-28                    |     1Mt | 33Kt    | openrouter               |     text |         ? | $0.40  | $1.20   |
  qwen/qwen-plus-2025-07-28:thinking           |     1Mt | 33Kt    | openrouter               |     text |         ? | $0.40  | $4.00   |
+ qwen/qwen-turbo                              |     1Mt | 8.2Kt   | openrouter               |     text |         ? | $0.05  | $0.20   |
  qwen/qwen3-235b-a22b-2507                    |   262Kt | 0t      | openrouter               |     text |         ? | $0.07  | $0.46   |
  qwen/qwen3-235b-a22b-thinking-2507           |   262Kt | 262Kt   | openrouter               |     text |         ? | $0.11  | $0.60   |
  qwen/qwen3-30b-a3b-instruct-2507             |   262Kt | 262Kt   | openrouter               |     text |         ? | $0.08  | $0.33   |
  qwen/qwen3-coder                             |   262Kt | 262Kt   | openrouter               |     text |         ? | $0.22  | $0.95   |
  qwen/qwen3-coder:exacto                      |   262Kt | 66Kt    | openrouter               |     text |         ? | $0.22  | $1.80   |
  qwen/qwen3-coder:free                        |   262Kt | 262Kt   | openrouter               |     text |         ? | $0.00  | $0.00   |
  qwen/qwen3-max                               |   256Kt | 33Kt    | openrouter               |     text |         ? | $1.20  | $6.00   |
  qwen/qwen3-next-80b-a3b-instruct             |   262Kt | 0t      | openrouter               |     text |         ? | $0.06  | $0.60   |
  qwen/qwen3-vl-235b-a22b-instruct             |   262Kt | 0t      | openrouter               |     text |         ? | $0.20  | $1.20   |
  qwen/qwen3-vl-235b-a22b-thinking             |   262Kt | 262Kt   | openrouter               |     text |         ? | $0.30  | $1.20   |
  qwen/qwen3-vl-30b-a3b-instruct               |   262Kt | 0t      | openrouter               |     text |         ? | $0.15  | $0.60   |
  qwen/qwen3-vl-32b-instruct                   |   262Kt | 0t      | openrouter               |     text |         ? | $0.50  | $1.50   |
  qwen/qwen3-vl-8b-thinking                    |   256Kt | 33Kt    | openrouter               |    image |         ? | $0.18  | $2.10   |
  relace/relace-apply-3                        |   256Kt | 128Kt   | openrouter               |     text |         ? | $0.85  | $1.25   |
  relace/relace-search                         |   256Kt | 128Kt   | openrouter               |     text |         ? | $1.00  | $3.00   |
? x-ai/grok-4                                  |   256Kt | 0t      | openrouter               |    image |         ? | $3.00  | $15.00  |
+ x-ai/grok-4-fast                             |     2Mt | 30Kt    | openrouter               |     text |         ? | $0.20  | $0.50   |
+ x-ai/grok-4.1-fast                           |     2Mt | 30Kt    | openrouter               |     text |         ? | $0.20  | $0.50   |
+ x-ai/grok-code-fast-1                        |   256Kt | 10Kt    | openrouter               |     text |         ? | $0.20  | $1.50   |
  xiaomi/mimo-v2-flash:free                    |   262Kt | 66Kt    | openrouter               |     text |         ? | $0.00  | $0.00   |
+ z-ai/glm-4.6                                 |   203Kt | 66Kt    | openrouter               |     text |         ? | $0.35  | $1.50   |
+ z-ai/glm-4.6:exacto                          |   205Kt | 131Kt   | openrouter               |     text |         ? | $0.44  | $1.76   |
+ z-ai/glm-4.7                                 |   203Kt | 66Kt    | openrouter               |     text |         ? | $0.40  | $1.50   |
+ MiniMaxAI/MiniMax-M1-80k                     |     1Mt | 0t      | huggingface/novita       |     text |         ? | $0.55  | $2.20   |
+ MiniMaxAI/MiniMax-M2                         |   205Kt | 0t      | huggingface/novita       |     text |         ? | $0.30  | $1.20   |
+ MiniMaxAI/MiniMax-M2.1                       |   205Kt | 0t      | huggingface/novita       |     text |         ? | $0.30  | $1.20   |
  moonshotai/Kimi-K2-Instruct-0905             |   262Kt | 0t      | huggingface/novita       |     text |         ? | $0.60  | $2.50   |
  moonshotai/Kimi-K2-Instruct-0905             |   262Kt | 0t      | huggingface/together     |     text |         ? | $1.00  | $3.00   |
  moonshotai/Kimi-K2-Instruct-0905             |   262Kt | 0t      | huggingface/groq         |     text |         ? | $0.00  | $0.00   |
  moonshotai/Kimi-K2-Thinking                  |   262Kt | 0t      | huggingface/novita       |     text |         ? | $0.60  | $2.50   |
  moonshotai/Kimi-K2-Thinking                  |   262Kt | 0t      | huggingface/together     |     text |         ? | $1.20  | $4.00   |
  moonshotai/Kimi-K2-Thinking                  |   262Kt | 0t      | huggingface/nebius       |     text |         ? | $0.60  | $2.50   |
+ Qwen/Qwen3-235B-A22B-Instruct-2507           |   262Kt | 0t      | huggingface/together     |     text |         ? | $0.20  | $0.60   |
  Qwen/Qwen3-235B-A22B-Instruct-2507           |   262Kt | 0t      | huggingface/hyperbolic   |     text |         ? | $2.00  | $2.00   |
+ Qwen/Qwen3-235B-A22B-Instruct-2507           |   262Kt | 0t      | huggingface/nebius       |     text |         ? | $0.20  | $0.60   |
+ Qwen/Qwen3-235B-A22B-Thinking-2507           |   262Kt | 0t      | huggingface/fireworks-ai |     text |         ? | $0.22  | $0.88   |
+ Qwen/Qwen3-235B-A22B-Thinking-2507           |   262Kt | 0t      | huggingface/nebius       |     text |         ? | $0.20  | $0.80   |
  Qwen/Qwen3-30B-A3B-Instruct-2507             |   262Kt | 0t      | huggingface/nebius       |     text |         ? | $0.10  | $0.30   |
  Qwen/Qwen3-30B-A3B-Thinking-2507             |   262Kt | 0t      | huggingface/nebius       |     text |         ? | $0.10  | $0.30   |
  Qwen/Qwen3-Coder-30B-A3B-Instruct            |   262Kt | 0t      | huggingface/nebius       |     text |         ? | $0.10  | $0.30   |
  Qwen/Qwen3-Coder-30B-A3B-Instruct            |   262Kt | 0t      | huggingface/ovhcloud     |     text |         ? | $0.07  | $0.26   |
? Qwen/Qwen3-Coder-480B-A35B-Instruct          |   262Kt | 0t      | huggingface/novita       |     text |         ? | $0.30  | $1.30   |
  Qwen/Qwen3-Coder-480B-A35B-Instruct          |   262Kt | 0t      | huggingface/together     |     text |         ? | $2.00  | $2.00   |
  Qwen/Qwen3-Coder-480B-A35B-Instruct          |   262Kt | 0t      | huggingface/hyperbolic   |     text |         ? | $2.00  | $2.00   |
? Qwen/Qwen3-Coder-480B-A35B-Instruct          |   262Kt | 0t      | huggingface/fireworks-ai |     text |         ? | $0.45  | $1.80   |
? Qwen/Qwen3-Coder-480B-A35B-Instruct          |   262Kt | 0t      | huggingface/nebius       |     text |         ? | $0.40  | $1.80   |
  Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8      |   262Kt | 0t      | huggingface/together     |     text |         ? | $2.00  | $2.00   |
  Qwen/Qwen3-Next-80B-A3B-Instruct             |   262Kt | 0t      | huggingface/together     |     text |         ? | $0.15  | $1.50   |
+ Qwen/Qwen3-Next-80B-A3B-Instruct             |   262Kt | 0t      | huggingface/hyperbolic   |     text |         ? | $0.30  | $0.30   |
  Qwen/Qwen3-Next-80B-A3B-Thinking             |   262Kt | 0t      | huggingface/together     |     text |         ? | $0.15  | $1.50   |
+ Qwen/Qwen3-Next-80B-A3B-Thinking             |   262Kt | 0t      | huggingface/hyperbolic   |     text |         ? | $0.30  | $0.30   |
  Qwen/Qwen3-VL-32B-Instruct                   |   262Kt | 0t      | huggingface/together     |     text |         ? | $0.50  | $1.50   |
? zai-org/GLM-4.6                              |   205Kt | 0t      | huggingface/novita       |     text |         ? | $0.55  | $2.20   |
  zai-org/GLM-4.7                              |   205Kt | 0t      | huggingface/novita       |     text |         ? | $0.60  | $2.20   |
